               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046034,            0.072115,            0.017975,             0.73456,             0.61351,             0.71266,             0.48088,            0.037639,            0.033142,           0.0080353,              0.0964,              0.0004,              0.0004
                   1,            0.045504,            0.071313,            0.016397,             0.73137,             0.64713,             0.72624,             0.48735,            0.037395,            0.032748,           0.0074466,            0.091891,          0.00089109,          0.00089109
                   2,            0.044305,            0.062317,            0.015389,             0.72431,             0.67458,             0.73884,              0.4971,            0.037147,            0.032397,           0.0067938,            0.087372,           0.0013723,           0.0013723
                   3,            0.042332,            0.061671,            0.015697,             0.79349,             0.65764,             0.75513,             0.50571,            0.036899,            0.031898,           0.0061707,            0.082844,           0.0018436,           0.0018436
                   4,             0.04292,            0.057195,            0.014053,              0.7619,              0.6949,             0.77019,             0.51971,            0.036885,              0.0314,           0.0054348,            0.078305,            0.002305,            0.002305
