               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.043531,             0.01312,                   0,             0.97204,                 0.9,             0.95056,             0.34346,            0.045613,            0.011442,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.044049,             0.01287,                   0,                   1,             0.79896,             0.95167,             0.42369,            0.044098,            0.011032,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.046046,            0.012646,                   0,              0.9833,                 0.9,             0.95382,              0.4918,            0.038176,            0.010708,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.042546,            0.012733,                   0,             0.97568,                 0.9,             0.97833,             0.60577,            0.030628,             0.01078,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.04296,            0.011679,                   0,             0.98436,                 0.9,             0.97192,             0.50269,             0.03735,            0.010338,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.042452,            0.011639,                   0,             0.98485,                 0.9,             0.96167,             0.42342,             0.04518,            0.010187,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.041792,            0.010928,                   0,              0.9818,                 0.9,             0.96643,             0.55864,             0.03313,            0.010056,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.042823,            0.012826,                   0,                   1,             0.98176,               0.995,             0.59482,            0.031582,           0.0098839,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040732,            0.011978,                   0,             0.90763,             0.98398,             0.98591,             0.50848,            0.035289,           0.0099068,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.038776,             0.01214,                   0,                   1,             0.98956,               0.995,             0.61772,            0.028776,           0.0097561,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.038143,           0.0094666,                   0,                   1,              0.9862,               0.995,              0.6574,            0.026993,           0.0096989,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.038858,            0.010241,                   0,                   1,             0.98712,               0.995,             0.45558,            0.039735,           0.0095272,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.041678,            0.010379,                   0,                   1,             0.99857,               0.995,             0.62806,            0.030637,           0.0095806,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.037579,            0.011153,                   0,              0.9824,                 0.9,             0.98591,             0.56483,            0.029311,           0.0094032,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.03653,            0.011661,                   0,                   1,             0.99702,               0.995,              0.6168,            0.031879,           0.0092621,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.037936,            0.011664,                   0,             0.99882,                   1,               0.995,             0.56863,            0.031359,           0.0094833,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.037696,            0.010568,                   0,                   1,             0.99943,               0.995,             0.54806,            0.031736,           0.0093117,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.035823,            0.011111,                   0,              0.8937,                   1,             0.98591,              0.6305,            0.026733,           0.0091209,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.037446,              0.0109,                   0,                   1,             0.99846,               0.995,             0.59049,            0.028754,           0.0087662,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.034661,             0.01006,                   0,             0.99947,                   1,               0.995,             0.59413,            0.031166,           0.0089855,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.038592,            0.010014,                   0,             0.99679,                   1,               0.995,             0.59032,            0.028842,           0.0088177,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.032128,            0.010513,                   0,             0.99545,                   1,               0.995,             0.53845,             0.03458,           0.0087814,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.035237,           0.0099148,                   0,             0.99967,                   1,               0.995,             0.55962,            0.030406,           0.0084991,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.035608,            0.011889,                   0,               0.997,                   1,               0.995,             0.65153,            0.024608,           0.0085068,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.034444,            0.011037,                   0,             0.99707,                   1,               0.995,             0.50347,             0.03202,            0.008625,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.032314,            0.010083,                   0,             0.99759,                   1,               0.995,             0.62583,            0.026627,           0.0083904,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.034438,             0.01017,                   0,             0.99681,                   1,               0.995,             0.68116,            0.026188,           0.0082169,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.032153,            0.010875,                   0,             0.99933,                   1,               0.995,              0.6491,            0.025747,           0.0081692,                   0,            0.003565,            0.003565,            0.003565
